Id,DATE_DERNIERE_MAJ,TYPE,NOM_OFFRE,PORTE_ESCALIER,BATIMENT_RESIDENCE,RUE,LIEUDIT_BP,CODE_POSTAL,COMMUNE,COMMUNE_INSEE,TEL,TEL_MOB,SITE_WEB,LONGITUDE,LATITUDE,GEOLOC_MANUELLE,INFOS_COMPLEMENTAIRES,LABEL_TOURISME_HANDICAP,MARQUES_LABELS,LABELS_CLASSEMENT,LABELS_THEMES,CLASSEMENT,CHAINES,LOGIS_CLASSEMENT,LOGIS_THEMES,CAPACITE_NBRE_PERS,OUVERTURE,TARIFS,EQUIPEMENTS,SERVICES
HLOAQU064FS002O6,12/05/2015,Chambres d'hôtesChambres d'hôtes, Brigitte et Henri LEICIAGUECAHAR,"Auberge du Pressoir
",Maison Langoun,RD 48,,64520,CAME,64161,+33 5 59 56 01 47,,www.chambresdhotes-langoun.fr, -1.1105240,43.4732080,Oui,Chauffage,,Non labellisé,,,Non classé,,,,6,,,,
HLOAQU033V500QJB,24/03/2015,Chambres d'hôtesChambres d'hôtes, Le Gîte à JT,"420 allée de Maisonnieux
",,,,33127,SAINT-JEAN-D'ILLAC,33422,,+33 6 52 61 41 19,www.le-gite-a-jt.com, -0.8417338,44.8006835,Oui,Accès Internet # Chauffage,,Clévacances,,Clévacances Insolite,Non classé,,,,6,,,Piscine partagée,Draps et/ou linge compris # Table d'hôtes # Wifi
HLOAQU024V500FXX,26/05/2015,Chambres d'hôtesChambres d'hôtes, Le Puits de Roi- Mme CASSISA,,,,Le Petit Pey du Rey,24410,SAINT-AULAYE,24376,,+33 6 37 79 23 17,,0.11895660,45.1873736,Oui,Télévision,,Non labellisé,,,Non classé,,,,6,01/01/2015|31/12/2015|||||,"Nuitée|45,00|82,00|",,
HLOAQU040FS006W2,04/06/2015,Chambres d'hôtesChambres d'hôtes, M. Parre,,,68 rue Isidore Salles,,40110,MORCENX,40197,+33 5 58 07 10 50,+33 6 82 02 66 51,www.a2pasdelaforet.com, -0.92005,44.0368211,Oui,Accès Internet # Lit bébé # Télévision # Wifi,,Non labellisé,,,Non classé,,,,2,,"Nuitée|48,00|51,00|Avec petit déjeuner / Dégressif à partir de 5 nuits # Pension complète|80,00|80,00|80 € = Tarif indiqué pour 2 pers/1 nuitée/Table d'hôtes",Piscine partagée,Draps et/ou linge compris # Prêt de vélos # Table d'hôtes # Wifi
HLOAQU033FS002PA,11/02/2015,Chambres d'hôtesChambres d'hôtes, Villa Marguerite,"7, rue des Muguets
",,,,33230,COUTRAS,33138,+33 5 57 69 44 47,+33 6 11 30 47 54,http://marguerite.coutras.free.fr, -0.1219868,45.0495580,Oui,Accès Internet # Chauffage # Cheminée # Wifi,,Non labellisé,,,Non classé,,,,4,01/01/2015|31/12/2015|||||,,Piscine partagée,Wifi
HLOAQU033FS003PS,14/04/2015,Chambres d'hôtesChambres d'hôtes,123 chemin du bord de l'eau,"123 chemin du bord de l'eau
",,,,33460,MACAU,33262,+33 5 56 08 04 91,+33 6 28 32 71 51,http://www.123cheminduborddeleau.com, -0.5709457,44.9997063,Oui,Accès Internet # Wifi,Handicap auditif # Handicap mental,Clévacances,4 clés4 clés,Clévacances Bacchus,Non classé,,,,15,,,Piscine partagée,Table d'hôtes # Wifi
HLOAQU040FS002RD,02/01/2015,Chambres d'hôtesChambres d'hôtes,A La yourte des Landes,"4105 chemin de Baloze
",,,,40410,MANO,40171,+33 5 58 07 77 39,+33 6 81 16 14 16,www.alayourtedeslandes.com, -0.6911087,44.4145321,Oui,Chauffage # Matériel enfant,,Non labellisé,,,,,,,,,,,Baby sitting # Table d'hôtes
HLOAQU024FS002U1,06/02/2015,Chambres d'hôtesChambres d'hôtes,A l'Angle des Tuyas,,,1 rue Jean de la Fontaine,,24200,SARLAT-LA-CANEDA,24520,+33 5 53 59 18 29,+33 6 78 26 47 11,,1.2182487,44.8714469,,,,Non labellisé,,,Non classé,,,,6,01/01/2015|31/12/2015|||||,,,
HLOAQU0400030830,14/04/2015,Chambres d'hôtesChambres d'hôtes,Accalmie,,,,,40510,SEIGNOSSE,40296,+33 5 58 49 84 10,+33 6 76 04 31 24,http://accalmie40.fr,,,,Télévision,,Gîtes de France,3 épis3 épis,Charme Gîtes de France,,,,,7,,"2 personnes (chambres d'hôtes)|85,00|100,00| # 3 personnes (chambres d'hôtes)|110,00|135,00| # Personne supplémentaire (chambres d'hôtes)|25,00|| # Repas (chambres d’hôtes)|35,00||",Piscine partagée,Table d'hôtes
HLOAQU033FS0033H,09/04/2015,Chambres d'hôtesChambres d'hôtes,Adishats,"2, rue de Nezer
",,,,33470,LE TEICH,33527,+33 5 57 15 34 80,+33 6 68 31 13 40,www.adishatz-chambresdhotes.fr, -1.0120296,44.6268244,Oui,Accès Internet # Chauffage # Lit bébé # Matériel enfant,,Non labellisé,,,Non classé,,,,4,01/01/2015|31/12/2015|||||,"2 personnes (chambres d'hôtes)|55,00|65,00|",,Nettoyage / ménage # Wifi
