Id,DATE_DERNIERE_MAJ,TYPE,NOM_OFFRE,PORTE_ESCALIER,BATIMENT_RESIDENCE,RUE,LIEUDIT_BP,CODE_POSTAL,COMMUNE,COMMUNE_INSEE,TEL,TEL_MOB,MEL,SITE_WEB,LONGITUDE,LATITUDE,GEOLOC_MANUELLE,INFOS_COMPLEMENTAIRES,LABEL_TOURISME_HANDICAP,MARQUES_LABELS,LABELS_CLASSEMENT,LABELS_THEMES,CLASSEMENT,CHAINES,LOGIS_CLASSEMENT,LOGIS_THEMES,CAPACITE_NBRE_PERS,OUVERTURE,TARIFS,EQUIPEMENTS,SERVICES
HLOAQU047V502DD9,03/01/2020,MeublésMeublés,American Dream,,,,Laspietat,47300,VILLENEUVE-SUR-LOT,47323,+33 5 53 40 36 15 # +33 5 53 47 80 87,+33 6 80 28 19 85,giteamericandream@sfr.fr # reservation@gitesdefrance47.com,https://www.giteamericandream.com # https://www.gites-de-france-47.com,0.71116953,44.4336437,Oui,Accès Internet # Chaîne Hifi # Chauffage # Combiné congélation # Four # Four à micro ondes # Lave linge privatif # Lave vaisselle # Réfrigérateur # Spa / Jacuzzi # Télévision,,Gîtes de France,3 épis3 épis,,3 étoiles,,,,4,01/01/2020|31/12/2020|||||,"Semaine basse saison|400,00|693,00| # Semaine moyenne saison|370,00|693,00| # Semaine haute saison|370,00|800,00| # Semaine très haute saison|850,00|900,00| # Semaine (meublé)|400,00|900,00|BS:400/693€-MS:370/693€-HS:370/800€-THS:850/900€",Piscine partagée,Nettoyage / ménage # Wifi
HLOAQU047V504UZH,13/01/2020,MeublésMeublés,Ancien relais de poste - Appartement Henri,,,8 rue Posterne,,47700,CASTELJALOUX,47052,+33 5 53 93 54 31,+33 6 14 38 79 08,8posterne@gmail.com,https://8rueposterne.com,0.0868035,44.3145413,Oui,Combiné congélation # Four # Four à micro ondes # Télévision,,Non labellisé,,,3 étoiles,,,,4,,"Semaine (meublé)|300,00|400,00|Juillet et août # 3 semaines (meublé)|650,00|750,00|Forfait cure",,Draps et/ou linge compris # Wifi
HLOAQU047V504V10,13/01/2020,MeublésMeublés,Ancien relais de poste - Appartement Margot,,,8 rue Posterne,,47700,CASTELJALOUX,47052,+33 5 53 93 54 31,+33 6 14 38 79 08,8posterne@gmail.com,https://8rueposterne.com,0.0868035,44.3145413,,Chauffage # Combiné congélation # Four # Four à micro ondes # Télévision,,Non labellisé,,,3 étoiles,,,,2,,"Semaine (meublé)|250,00|350,00| # 3 semaines (meublé)|550,00|650,00|",,Draps et/ou linge compris # Wifi
HLOAQU047FS000JN,07/01/2020,MeublésMeublés,Appart' Agenais,,,3 impasse des Castors,,47000,AGEN,47001,+33 5 53 66 11 82 # +33 5 53 66 08 65,,contact@resa47.com,https://www.resa47.com,0.64806,44.21164,Oui,Accès Internet # Chauffage # Combiné congélation # Four # Four à micro ondes # Lave linge privatif,,Clévacances # Sourire du Lot-et-Garonne,3 clés3 clés,,3 étoiles,,,,3,01/01/2020|31/12/2020|||||,"Semaine basse saison|230,00|230,00| # Semaine moyenne saison|242,00|242,00| # Semaine haute saison|276,00|276,00| # Semaine très haute saison|311,00|311,00| # Semaine (meublé)|230,00|311,00|BS:230€-MS:242€-HS:276€-THS:311€",,Location de draps et/ou de linge # Nettoyage / ménage
HLOAQU047V507P52,03/01/2020,MeublésMeublés,Appart Hôtel Jean Douce,,,18 avenue du Docteur Neau,,47200,MARMANDE,47157,,+33 6 37 91 93 01,pacovasseur@free.fr,http://www.apparthoteljeandouce.jimdo.com,0.17337919,44.5031573,Oui,Accès Internet # Chauffage # Four à micro ondes # Lave linge privatif # Télévision # Wifi,,Non labellisé,,,2 étoiles,,,,4,01/01/2020|31/12/2020|||||,"Semaine (meublé)|300,00|300,00| # Quinzaine (meublé)|500,00|500,00| # 3 semaines (meublé)|650,00|650,00| # Nuitée|40,00||",,Nettoyage / ménage # Wifi
HLOAQU047V50BVQK,03/01/2020,MeublésMeublés,Appart'AGEN,,,4 Boulevard de la République,1er étage,47000,AGEN,47001,,+33 7 69 85 22 59,maryline.lamarque@orange.fr,,0.61250240,44.2042229,Oui,Accès Internet # Chauffage # Congélateur # Four à micro ondes # Lit bébé # Réfrigérateur # Télévision # Wifi,,Non labellisé,,,2 étoiles,,,,4,01/01/2020|31/12/2020|||||,"Nuitée|77,00|77,00|2 personnes - taxe de séjour et ménage inclus # Nuitée|84,00|84,00|3 personnes - taxe de séjour et ménage inclus # Nuitée|90,00|90,00|4 personnes - taxe de séjour et ménage inclus",,Draps et/ou linge compris # Nettoyage / ménage # Wifi
HLOAQU047V50C8VW,03/01/2020,MeublésMeublés,Appart'Coeur d'Agen,,,48 rue des Augustins,Rez-de-chaussée,47000,AGEN,47001,,+33 7 69 85 22 59,maryline.lamarque@orange.fr,,0.61250240,44.2042229,Oui,Accès Internet # Chauffage # Four à micro ondes # Lit bébé # Réfrigérateur # Télévision # Wifi,,Non labellisé,,,1 étoile,,,,2,01/01/2020|31/12/2020|||||,"Nuitée|40,00|45,00|1 personne/nuit : 40€ - 2 personne/nuit : 45€ # 1 personne (chambres d'hôtes)|40,00|40,00| # 2 personnes (chambres d'hôtes)|45,00|45,00|",,Draps et/ou linge compris # Nettoyage / ménage # Wifi
HLOAQU047V50D0AR,12/01/2020,MeublésMeublés,Appartement 1 - Meynier,,,7 A Place de la République,,47700,CASTELJALOUX,47052,,+33 6 79 18 67 31,phil.fab.meynier@orange.fr,,0.088126,44.31391,Oui,Accès Internet # Chauffage # Combiné congélation # Four # Four à micro ondes # Lave linge privatif # Lave vaisselle # Lit bébé # Matériel enfant # Télévision # Wifi,,Non labellisé,,,3 étoiles,,,,4,,"Nuitée|50,00|50,00| # 3 semaines (meublé)|650,00|1100,00|",,Nettoyage / ménage
HLOAQU047V50D0BI,12/01/2020,MeublésMeublés,Appartement 2 - Meynier,,,7 A Place de la République - 2ème étage,,47700,CASTELJALOUX,47052,,+33 6 79 18 67 31,phil.fab.meynier@orange.fr,,0.0883540,44.3137460,Non,Accès Internet # Chauffage # Combiné congélation # Four # Four à micro ondes # Lave linge privatif # Lave vaisselle # Lit bébé # Matériel enfant # Télévision # Wifi,,Non labellisé,,,3 étoiles,,,,4,,"Nuitée|50,00|50,00| # 3 semaines (meublé)|650,00|1100,00|",,Nettoyage / ménage
HLOAQU047V50CCVG,06/01/2020,MeublésMeublés,Appartement Cosy,,,80 Rue Lafayette,,47000,AGEN,47001,+33 5 53 66 14 14 # +33 5 53 66 08 65 # +33 5 53 66 11 82,,contact@resa47.com,https://www.resa47.com,0.621366,44.204098,Oui,Accès Internet # Chauffage # Four # Four à micro ondes # Lave linge privatif # Lit bébé # Réfrigérateur # Télévision,,Clévacances,2 clés2 clés,,3 étoiles,,,,3,01/01/2020|31/12/2020|||||,"Semaine (meublé)|230,00|253,00|BS:230€-MS:230€-HS:230€-THS:253€ # Semaine basse saison|230,00|230,00| # Semaine moyenne saison|230,00|230,00| # Semaine haute saison|230,00|230,00| # Semaine très haute saison|253,00|253,00| # Week-end (meublé)|81,00|115,00|2nuits:81€-3nuits:115€",,Draps et/ou linge compris # Nettoyage / ménage # Wifi
