Dpt,Nom_de_la_Circonscription,Désignation,Nuance,Score,Sortant,Perso.,Né(e)_le,Profession,Tour
33,1ère circonscription,Mme DAVID Dominique,REM,"59,59 %",,,27/02/1963,18 - Cadre supérieur (secteur privé),2
33,2ème circonscription,Mme FABRE Catherine,REM,"63,79 %",,,19/09/1978,48 - Fonctionnaire de catégorie B,2
33,3ème circonscription,M. PRUD'HOMME Loïc,FI,"50,20 %",,,19/08/1969,48 - Fonctionnaire de catégorie B,2
33,4ème circonscription,M. DAVID Alain,SOC,"50,91 %",,,02/06/1949,64 - Retraité des entreprises publiques,2
33,5ème circonscription,M. SIMIAN Benoit,REM,"50,46 %",,,27/05/1983,51 - Cadre (entreprises publiques),2
33,6ème circonscription,M. POULLIAT Eric,REM,"58,81 %",,,09/07/1974,48 - Fonctionnaire de catégorie B,2
33,7ème circonscription,Mme COUILLARD Bérangère,REM,"55,70 %",,,24/07/1986,19 - Autre cadre (secteur privé),2
33,8ème circonscription,Mme PANONACLE Sophie,REM,"59,75 %",,,16/12/1968,57 - Sans profession déclarée,2
33,9ème circonscription,Mme METTE Sophie,MDM,"53,54 %",,,13/09/1959,57 - Sans profession déclarée,2
33,10ème circonscription,M. BOUDIÉ Florent,REM,"67,90 %",O,DEP,22/09/1973,56 - Autre profession,2
33,11ème circonscription,Mme HAMMERER Véronique,REM,"57,02 %",,,04/11/1968,47 - Fonctionnaire de catégorie A,2
33,12ème circonscription,Mme DUBOS Christelle,REM,"56,71 %",,,26/03/1976,47 - Fonctionnaire de catégorie A,2
